StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,"Introduction ",Q11,Q15,Q17,Q17_5_TEXT,"Q16 ",Q30,Q34,Q34_5_TEXT,Q35,Q36,Q37,Q37_5_TEXT,Q38,Q39,Q40,Q40_5_TEXT,Q41,Q42,Q22,Q49,Q49_12_TEXT,Q21_1,Q21_2,Q78_1,Q78_2,Q78_3,Q47,Q23,Q23_10_TEXT,Q81,Q81_1_TEXT,Q82,Q82_1_TEXT,Q83,Q83_8_TEXT,Q20,Q25,Q25_13_TEXT,Q74,Q75,Q75_13_TEXT,Q84,Q85,Q64,Q65,Q65_13_TEXT,Q66,Q67,Q67_13_TEXT,Q68,Q69,Q70,Q71,Q76,Q77,Q72,Q73,Q73_13_TEXT,Q45,Q26,Q26_9_TEXT,Q27,Q27_8_TEXT,Q29,Q33,Q33_3_TEXT,Q46,Q32,Q32_7_TEXT,"Gender ",Q44,Nationality,Q43,Q43_13_TEXT,Q8,Q10,Q13,Q79,Q25,Q28,Q50,Q51,Q86,Q87,Q52,Q53,Q54,Q55,Q56,Q57,Q60,Q61,Q58,Q59,Q62,Q63,Q80
2025-04-22 22:10:51,2025-04-22 22:23:43,0,100,771,1,2025-04-22 22:23:43,R_9jkXJ4ScKk7uICq,anonymous,EN,1,1,1,2,,3,"1,2,10,11,12",,,,,,,,,,,,,"1,2,3",13,,3,1,1,4,4,1,1,,"2,4,5,6,7",,"2,4,5,6,7",,"1,4,5,6,7",,1,"1,11",,,,,,,,,,,,,,,,,,,,,,"1,2","3,5",,"1,2,9,3,4,5",,1,1,,2,2,,2,4,138,9,,1,2,8,7,"Abu Dhabi has the most designated bicycle paths all over the city, which I consider safe for us rider away from road accidents.",Aims to strengthen the position of the Emirate of Abu Dhabi as a global tourism destination for bicycles. Makes it easier and safer for residents to embrace an active lifestyle,,,,,,,,,,,,,,,,,4
2025-04-22 22:17:33,2025-04-22 22:23:45,0,100,372,1,2025-04-22 22:23:45,R_9syN4f2KZ3qPQ3v,anonymous,EN,1,3,1,"1,3",,2,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,3",13,,2,1,1,2,2,1,1,,"2,4,5,6",,"2,6",,"1,4,5,6",,,,,,,,,,1,"6,7,14",,,,,,,,,,,,,,"1,2","1,5,8",,"1,2,9,5,7",,3,1,,2,"1,2,3,4,5,6",,2,4,86,9,,1,8,41,10,,,,,,,,,,,,,,,,,,,4
2025-04-22 22:18:23,2025-04-22 22:25:33,0,100,430,1,2025-04-22 22:25:34,R_9MG2CyldfE3hcIN,anonymous,EN,1,2,1,"1,3",,3,"1,2,3,10,11,12",,,,,,,,,,,,,"1,3",7,,4,3,1,2,2,1,"1,2,10",Steel bike,"2,5,6",,2,,"1,4,5,6,7",,,,,3,"2,13",Strata area,,,,,,,,,,,,,,,,,,1,"2,3,5",,"1,2,9,4",,1,,,2,"1,6",,1,4,138,9,,3,3,12,8,,,,,,,,,,,,,,,,,,,4
2025-04-22 22:18:26,2025-04-22 22:27:07,0,100,520,1,2025-04-22 22:27:08,R_9hvaLuz2d2ca2S5,anonymous,EN,1,3,1,"1,3,6",,2,"1,2,3,4,5,10,11,12",,,,,,,,,,,,,"1,2,3",7,,4,1,1,1,1,1,"1,10",Gravel Bike,"2,6",,"2,6",,"1,4,5,6,7",,,,,,,,,,1,"3,7,14",,,,,,,,,,,,,,"1,2",1,,"2,4,5,6",,1,1,,3,,,1,5,95,9,,6,7,41,9,,,,,,,The dedicated cycling tracks,More cycling tracks,,,,,,,,,,,4
2025-04-22 22:17:00,2025-04-22 22:27:34,0,100,634,1,2025-04-22 22:27:34,R_9b2TuIkRGPcadgM,anonymous,EN,1,1,3,,,,,,,,,"1,2",,1,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,1,7,,3,3,1,3,3,1,8,,"2,4,5,6,7",,"2,4,5,6,7",,"1,4,5,6,7",,1,3,,,,,,,,,,,,,,,,,,,,,,"1,2,7,3,6,4","2,3",,"1,2,9,3,4,5,6,7",,3,,,2,"1,5",,1,4,138,9,,1,3,13,10,"It’s safe and people are considerate ","To increase cycle track with lights in the dark ",,,,,,,,,,,,,,,,,4
2025-04-22 22:19:05,2025-04-22 22:28:45,0,100,580,1,2025-04-22 22:28:46,R_4JJX4GfRxhwY6YS,anonymous,EN,1,1,1,"3,4",,3,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,2,3",13,,3,1,1,4,4,1,"1,10",TT bike,"2,4,5,6",,"2,4,5,6,7",,"1,4,5,6,7",,3,"5,11,12",,,,,,,,,,,,,,,,,,,,,,"1,2","1,3,8",,"1,2,3",,1,1,,2,1,,1,5,138,9,,2,1,17,8,Fun and safe,healthy leaving and active lifestyle,,,,,,,,,,,,,,,,,4
2025-04-22 18:51:45,2025-04-22 22:29:09,0,100,13043,1,2025-04-22 22:29:09,R_9q2eXqOT2e0dAj0,anonymous,EN,1,4,1,"1,3,4",,3,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,2,3,4",7,,4,1,1,1,1,1,1,,"2,5,6",,"2,4,6,7",,"1,5,6,7",,,,,,,,,,,,,3,"3,13","Al Rahmaniya ",,,,,,,,,,"1,2,6,4","1,5,8",,"9,3,4",,7,,,2,"1,2,6",,1,2,162,8,,5,1,15,10,,,,,,,,,Close to home so no need to drive to a track,More cycling groups organizing group rides and more tracks/paths,,,,,,,,,4
2025-04-22 22:21:10,2025-04-22 22:30:36,0,100,565,1,2025-04-22 22:30:36,R_9TQUWWag5ZLpQLF,anonymous,EN,1,3,1,"1,3",,3,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,3",7,,4,1,1,4,1,1,"1,3",,"2,5,6",,,,"1,7",,,,,,,,,,1,"7,8,14",,,,,,,,,,,,,,"1,7","1,3,7",,"2,4,6",,7,3,No protected routes and too far,2,"1,6",,1,6,187,11,,1,8,21,6,,,,,,,"Safety and peacefulness of the AlQudra cycle track
Friends cycling group","More urban dedicated, safe cycle routes ",,,,,,,,,,,4
2025-04-22 22:23:45,2025-04-22 22:30:58,0,100,432,1,2025-04-22 22:30:59,R_41QIMVHyZWMpT4f,anonymous,EN,1,1,1,"1,3,4",,2,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,2",7,,4,1,1,4,4,1,"1,7",,"2,6",,"5,6,7",,"1,5,6,7",,2,"5,11",,,,,,,,,,,,,,,,,,,,,,"1,4,5","1,3,5",,"2,5,6",,1,1,,3,,,1,5,187,9,,1,7,19,7,"The fact that it is dry all year round and has great cycle tracks. ","Free bike hire at all tracks for kids. ",,,,,,,,,,,,,,,,,4
2025-04-22 22:28:15,2025-04-22 22:32:11,0,100,235,1,2025-04-22 22:32:11,R_9GAO7LzVsCH7VYs,anonymous,EN,1,3,1,"1,3",,3,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,3,7,,4,1,1,4,4,1,"1,8",,"2,5,6",,"2,7",,"1,6,7",,,,,,,,,,1,7,,,,,,,,,,,,,,1,8,,"2,9",,7,3,roads aren’t safe,3,,,1,5,187,10,,1,7,5,6,,,,,,,amazing cycle tracks and infrastucture,link up the cycle tracks to each other,,,,,,,,,,,4
2025-04-22 22:19:53,2025-04-22 22:34:10,0,100,856,1,2025-04-22 22:34:10,R_999t3DLfzWbKKLT,anonymous,EN,1,3,1,"1,3",,3,"1,2,3,4,9,10,11,12",,,,,,,,,,,,,"1,4",7,,4,1,1,2,2,1,1,,2,,7,,"1,4,6,7",,,,,,,,,,1,14,,,,,,,,,,,,,,1,"1,8",,"2,9,4,6",,7,1,,3,,,1,5,138,9,,1,4,24,6,,,,,,,"Nice and well maintained cycle track, free use of ammenities and very well maintained.",More access to cycle path possible shaded  and shower rooms so people can cycle to work instead of bringing their cars.,,,,,,,,,,,4
2025-04-22 22:30:40,2025-04-22 22:37:30,0,100,409,1,2025-04-22 22:37:31,R_4Pu283ati6ZHyJC,anonymous,EN,1,1,1,3,,4,"1,2,3,9,10,11,12",,,,,,,,,,,,,1,,,4,3,1,3,3,1,3,,"2,4,5",,2,,"1,4,5",,1,"7,11",,,,,,,,,,,,,,,,,,,,,,"1,2",1,,"1,2,3,4,6,7",,7,2,,2,"1,3",,1,4,77,12,,1,4,7,9,Felt comfortable,Access to new gears,,,,,,,,,,,,,,,,,4
2025-04-22 22:30:14,2025-04-22 22:40:06,0,100,591,1,2025-04-22 22:40:06,R_4hyygnk47s6x0U3,anonymous,EN,1,3,1,"1,3,4",,2,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,3",12,"slow endurance cyclist ",3,1,1,1,1,1,"3,9,10",Gravel Bike,"2,4,5,6",,"2,7,1",Gave me the confidence to explore places internationally that I otherwise would not have visited or explored.,"6,7",,,,,,,,,,4,"7,8,14",,,,,,,,,,,,,,"1,2","1,2,8",,"2,4,5,8","Also, the cycling community here although good in many respects can be quite aggressive and unwelcoming. Cycling on cycle tracks alone has even become dangerous thanks to careless and reckless pelotons.  For newbies and/or casual cyclists, it would be highly intimidating. ",1,,,3,,,2,4,31,9,,7,7,15,8,,,,,,,"The dedicated cycling tracks are great but the 'community' needs some education as to ride etiquette and the fact that the tracks are for everyone, not just fast pelotons.  I'm an ultra-endurance cyclist and I often say that if not for living in Dubai with its amazing facilities, I may have never took up cycling. ","There needs to be more cycling lans that allow people to run errands and commute by bike in the cooler weather. I don't always want to ride to train. Sometimes, it would be great to mix it in with errands for a casual ride. I also think that there needs to be a central avenue or outlet for information on races and info. There are none. For someone wanting to get started in cycling or learn about races, there is no place to go. I am a very experienced cyclist who is online regularly and I sometimes hear about races after they happen.",,,,,,,,,,,4
2025-04-22 22:38:02,2025-04-22 22:42:34,0,100,271,1,2025-04-22 22:42:34,R_2ik4NTGqtoT3HlT,anonymous,EN,1,3,1,"1,3",,3,"1,2,3,4,5,6,10,11,12",,,,,,,,,,,,,"1,2,3",7,,4,1,1,4,1,1,1,,"2,5,6",,6,,"1,4,5,6,7",,,,,,,,,,4,"3,7,14",,,,,,,,,,,,,,"1,2","1,2,8",,"2,9,6",,7,,,2,"3,6",,2,3,187,9,,1,7,46,9,,,,,,,"Great cycle communities and some well established routes ","More safer connected routes between the city eg, downtown and extended current tracks
Mainly in Meydan ",,,,,,,,,,,4
2025-04-22 22:38:54,2025-04-22 22:46:24,0,100,450,1,2025-04-22 22:46:25,R_4wRkroC7nRmYPqJ,anonymous,EN,1,3,1,"1,3,4",,2,"1,2,3,4,5,10,11,12",,,,,,,,,,,,,"2,3",1,,1,1,1,1,4,1,1,,"2,6",,"2,4,5,6,7",,"1,5,6,7",,,,,,,,,,1,13,NAS,,,,,,,,,,,,,1,"1,3,8",,2,,3,3,"Too far, and roads are crazy",2,"1,2,6",,1,4,9,8,,1,7,6,10,,,,,,,I love the community and how safe the track at NAS is,More shaded cycling areas / areas not as intimidating as NAS (more a beginner track),,,,,,,,,,,4
2025-04-22 22:41:43,2025-04-22 22:47:28,0,100,344,1,2025-04-22 22:47:29,R_4I5AEUPOPBFhrWM,anonymous,EN,1,1,1,"1,3,4",,2,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,1,1,,4,1,1,3,4,1,"1,10",TT Bike,"2,5,6",,"5,6,7",,"1,5,6,7",,3,"5,11,12",,,,,,,,,,,,,,,,,,,,,,"1,2","1,2,3",,"2,9,4",,7,2,,2,1,,2,4,64,10,,1,7,15,10,"Cycle tracks, community","Broader network of cycling lanes, connected cycle tracks, more driver awareness on the road ",,,,,,,,,,,,,,,,,
2025-04-22 22:41:00,2025-04-22 22:47:33,0,100,392,1,2025-04-22 22:47:34,R_4gREtzw7WViU52h,anonymous,EN,1,3,1,"1,3",,3,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,3,7,,4,1,1,4,4,1,1,,2,,,,7,,,,,,,,,,3,"7,14",,,,,,,,,,,,,,"1,2","2,3,7",,"2,9,3,4,5,6",,7,,,2,3,,1,6,31,9,,1,8,,6,,,,,,,it offers the best cycling tracks,more cycling tracks in the neighbourhoods,,,,,,,,,,,4
2025-04-22 22:40:59,2025-04-22 22:48:25,0,100,445,1,2025-04-22 22:48:25,R_9JdXwfpCKukPADA,anonymous,EN,1,3,1,"1,3",,2,"1,2,3,4,11,12",,,,,,,,,,,,,1,7,,4,1,1,4,4,1,"1,3",,"2,5",,1,Cycle maintenance and servicing,"1,7",,,,,,,,,,5,7,,,,,,,,,,,,,,"1,2","1,2,3",,"2,9,6",,7,3,Traffic and lack of care and attention by vehicle drivers,3,,,1,6,187,9,,6,4,4,7,,,,,,,"Fresh air, dedicated cycle tracks albeit in the desert","More traffic-free cycle routes eg: Al Qudra, Meyden",,,,,,,,,,,4
2025-04-22 22:44:22,2025-04-22 22:49:19,0,100,296,1,2025-04-22 22:49:20,R_9uPLUzCoWQpAIMx,anonymous,EN,1,3,1,"1,3",,2,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,2,3",1,,4,1,1,4,4,1,1,,"2,5",,"2,6,7",,"1,4,5,6,7",,,,,,,,,,3,"7,14",,,,,,,,,,,,,,1,"5,8",,"1,9,3,4,6",,7,3,"Not Safe ",2,"3,6",,2,4,95,10,,1,5,13,8,,,,,,,Cycling tracks and community,"Community rides, Safety awarness, Workshops",,,,,,,,,,,4
2025-04-22 22:45:44,2025-04-22 22:50:41,0,100,296,1,2025-04-22 22:50:42,R_4JDjXxQdEAaHKY9,anonymous,EN,1,3,1,"1,4",,3,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,3",1,,4,1,1,3,1,1,1,,"2,5,6",,"2,6",,"1,5,6",,,,,,,,,,2,"7,14",,,,,,,,,,,,,,1,"1,2,3",,4,,7,3,,2,"1,2,6",,2,4,187,6,,1,7,16,10,,,,,,,"The desert riding tracks and the community. ","The cycling tracks can be very dangerous. So many huge groups going so fast because there's too much ego. Groups are for everyone, beginners as well but many people get upset that they're being slowed down by them. ",,,,,,,,,,,4
2025-04-22 22:40:54,2025-04-22 22:50:59,0,100,605,1,2025-04-22 22:51:00,R_4HOA3aXErO3XLEF,anonymous,EN,1,3,1,"1,3",,2,"1,2,3,4,10,11,12",,,,,,,,,,,,,1,7,,4,2,1,4,3,1,3,,"2,5,6",,,,"1,5,7",,,,,,,,,,1,"7,8",,,,,,,,,,,,,,"1,2,7","1,3,5",,"2,5,6",,7,,,3,,,1,5,162,10,,1,7,5,7,,,,,,,Dedicated al quadra cycle track,More local mountain bike trails and downhill parks,,,,,,,,,,,4
2025-04-22 22:47:04,2025-04-22 22:52:09,0,100,305,1,2025-04-22 22:52:10,R_4o7T50mR8MhLiZu,anonymous,EN,1,3,1,"1,3",,3,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,1,1,,4,1,1,2,3,1,"1,3",,"2,4,5",,,,"1,6",,,,,,,,,,2,"7,8,13",hatta,,,,,,,,,,,,,"1,2,6,4","1,3,8",,"2,9,4",,7,2,,3,,,1,5,187,8,,1,7,15,7,,,,,,,smooth long distance tracks,joined up neighbourhoods,,,,,,,,,,,4
2025-04-22 22:53:08,2025-04-22 22:53:50,0,100,41,1,2025-04-22 22:53:51,R_4aEukjkgBFgCjCx,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-22 22:36:34,2025-04-22 22:54:38,0,100,1084,1,2025-04-22 22:54:39,R_4KPawYGIL3RlNLL,anonymous,EN,1,1,1,3,,4,"1,2,3,4,11,12",,,,,,,,,,,,,1,7,,4,3,1,4,1,2,,,,,"2,7",,7,,1,"5,10",,,,,,,,,,,,,,,,,,,,,,"1,4","1,8",,"4,5,6",,1,1,,3,,,2,4,133,12,,1,3,41,8,,,,,,,,,,,,,,,,,,,4
2025-04-22 22:46:46,2025-04-22 22:54:57,0,100,490,1,2025-04-22 22:54:59,R_9YMNW5mYdslZblD,anonymous,EN,1,3,1,"3,4",,2,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,3,7,,4,1,1,2,3,1,"1,2,3,10",GRAVEL,"2,6",,5,,"1,5,6,7",,,,,,,,,,2,"7,8,14",,,,,,,,,,,,,,"1,2","2,3",,"2,4",,1,2,,3,,,1,5,187,10,,1,7,21,6,,,,,,,"Great community, faclities are always improving",Helmets with Careem bikes. Reduced e-bikes (motorbikes) on cycle tracks as they are a risk to children and others. (have stopped allowing my children to ride alone on the beach track due to the accidents caused by e-motorbikes),,,,,,,,,,,4
2025-04-22 22:47:02,2025-04-22 22:55:10,0,100,488,1,2025-04-22 22:55:10,R_4r9wyiS21w1f9bi,anonymous,EN,1,1,1,"3,4",,3,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,1,1,,4,1,1,2,4,1,1,,2,,1,Help me maintain my bike properly and allow me to easily get equipment that I need,"1,6,7",,4,"11,12",,,,,,,,,,,,,,,,,,,,,,1,"2,3,9","Unsafe car driving habits are widespread ","9,4,8",Stricter enforcement of safe driving rules to root out unsafe driving,7,3,Drivers on UAE roads are not safe; lack of safe cycling lanes,2,"6,7",Unsafe driving norms on UAE roads,1,5,188,10,,1,8,4,7,"The dedicated cycle tracks are absolutely amazing. It is remarkable to me to go for rides on closed courses which also have support facilities like restrooms and water, etc. ",,,,,,,,,,,,,,,,,,4
2025-04-22 22:54:04,2025-04-22 22:59:51,0,100,346,1,2025-04-22 22:59:51,R_4xxxCvwcIu25OBR,anonymous,EN,1,1,1,"3,4",,3,"1,2,3,4,5,6,9,10,11,12",,,,,,,,,,,,,2,1,,4,1,1,3,3,1,"1,10",TT Bike,"2,6",,7,,"1,5,6,7",,1,"10,11,12",,,,,,,,,,,,,,,,,,,,,,1,"2,3,5",,"1,2,4",,1,2,,2,"3,6",,2,4,162,9,,1,3,8,7,"The cycle track dedicated to cyclists ",,,,,,,,,,,,,,,,,,4
2025-04-22 23:02:56,2025-04-22 23:03:20,0,100,24,1,2025-04-22 23:03:21,R_42rR92lxBN9Xx2t,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-22 22:58:53,2025-04-22 23:04:35,0,100,341,1,2025-04-22 23:04:36,R_4K9W7UZsYQeQDZO,anonymous,EN,1,1,1,"1,3",,1,"1,2,3,12",,,,,,,,,,,,,"1,3",7,,4,3,1,4,4,1,1,,2,,7,,"4,7",,5,"3,5,7",,,,,,,,,,,,,,,,,,,,,,"1,2,6","1,2,3",,"1,2,9,3,4",,7,3,"Dangerous drivers on the roads ",2,6,,2,7,31,10,,1,7,12,7,"Beautiful weather 6 months of the year ","Better safer routes to get places ",,,,,,,,,,,,,,,,,4
2025-04-22 22:57:33,2025-04-22 23:05:04,0,100,451,1,2025-04-22 23:05:05,R_8JlNsgRgzcNwqqL,anonymous,EN,1,3,1,"1,3,4",,3,"1,2,3,4,5,6,10,11,12",,,,,,,,,,,,,"1,3,4",7,,4,1,1,4,4,1,"1,3,10",gravel,"2,4,5,6",,2,,"1,5,7",,,,,,,,,,2,7,,,,,,,,,,,,,,1,"1,2,5",,"2,9,4,5,6",,7,1,,2,1,,1,5,181,10,,1,7,4,4,,,,,,,"
Al Qudra cycling track ",Mora cycling lanes in the city,,,,,,,,,,,4
2025-04-22 23:04:56,2025-04-22 23:09:44,0,100,287,1,2025-04-22 23:09:44,R_9lhqIJ6dEB4nr8J,anonymous,EN,1,3,1,"3,4",,4,"1,2,3,4,5,10,11,12",,,,,,,,,,,,,"3,4",7,,4,3,1,4,4,1,1,,2,,,,"1,7",,,,,,,,,,1,"7,14",,,,,,,,,,,,,,1,1,,"2,5",,7,3,-,3,,,1,3,144,11,,1,6,13,8,,,,,,,,,,,,,,,,,,,4
2025-04-22 23:02:29,2025-04-22 23:13:03,0,100,633,1,2025-04-22 23:13:03,R_9PtXzwsPVNV3tSV,anonymous,EN,1,3,1,"1,3,4",,3,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,2,3,4",7,,4,1,1,4,3,1,1,,"2,5,6",,"2,6,7",,"1,5,7",,,,,,,,,,1,"6,7,14",,,,,,,,,,,,,,1,"3,5,11",,"1,2,9,3,4,5",,1,3,,3,,,1,4,138,9,,1,2,14,10,,,,,,,"The cycling track is well-maintained and always accessible to all riders, also have proper washrooms for cyclist who are preparing to go work after cycling",Promoting cycling as a better way to be healthy and helps individual to be more productive,,,,,,,,,,,4
2025-04-22 23:06:36,2025-04-22 23:15:50,0,100,554,1,2025-04-22 23:15:51,R_94poSOFZ8WMsLTz,anonymous,EN,1,1,1,1,,4,"1,2,3,4,10,11,12",,,,,,,,,,,,,1,7,,4,4,1,1,1,1,8,,2,,2,,1,,1,11,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,,2,1,,1,4,77,9,,1,5,,4,BETTER TRACKS,"Best option for improve the fitness ",,,,,,,,,,,,,,,,,4
2025-04-22 23:06:09,2025-04-22 23:16:38,0,100,628,1,2025-04-22 23:16:39,R_9NQVq3DR7LVtkbg,anonymous,EN,1,3,1,"1,3",,3,"1,2,3,4,5,9,10,11,12",,,,,,,,,,,,,1,7,,4,1,1,4,4,1,1,,2,,,,"6,7",,,,,,,,,,2,"7,14",,,,,,,,,,,,,,1,"1,3,9","Scooter riders and pedestrians lack of education of cycling path. ","9,3,4",,1,3,"Distance ",3,,,1,5,95,9,,1,8,24,8,,,,,,,"Dedicated cycling lanes and tracks ",,,,,,,,,,,,4
2025-04-22 23:13:56,2025-04-22 23:21:23,0,100,446,1,2025-04-22 23:21:24,R_9FQFxHia2ukltF6,anonymous,EN,1,3,1,3,,3,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,3,7,,4,3,1,3,3,1,"1,3",,"2,6",,"2,4",,"1,7",,,,,,,,,,1,"7,8,14",,,,,,,,,,,,,,"1,2","1,2,3",,"2,9",,7,2,,2,1,,1,4,162,6,,1,7,15,5,,,,,,,Sun,Easier access,,,,,,,,,,,4
2025-04-22 22:45:45,2025-04-22 23:22:13,0,100,2187,1,2025-04-22 23:22:14,R_6Qemj0QVKWQ9Mxr,anonymous,EN,1,3,1,"3,4",,3,"1,2,3,4,5,9,10,11,12",,,,,,,,,,,,,"1,2,3,4",1,,4,1,1,3,4,1,"1,3",,"2,5,6",,"4,6",,"1,4,5,6,7",,,,,,,,,,2,"7,14",,,,,,,,,,,,,,"1,6","1,2,5",,"2,9",,7,1,,2,"1,6",,1,5,170,10,,1,7,5,8,,,,,,,"Doing an outside activity that is involves keeping fit, going fast and meeting my cycling friends","Easier access from living communities to cycle tracks. The really annoying part is transporting the bike to the cycle track and spending time driving to the cycle track.

It would also be great if the living communities would add cycling tracks instead of only the golf courses, tennis, paddle and fitness gyms :-) ",,,,,,,,,,,4
2025-04-22 23:18:08,2025-04-22 23:23:02,0,100,293,1,2025-04-22 23:23:03,R_9e8etrYREjrlR3z,anonymous,EN,1,3,1,3,,4,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,3,7,,3,1,1,3,3,1,1,,"2,6",,"2,6,7",,"1,5,7",,,,,,,,,,3,"6,7,14",,,,,,,,,,,,,,"1,2","1,3,5",,"1,2,9,3,4,6",,1,2,,2,"1,2",,1,5,138,10,,1,3,19,7,,,,,,,lots of riders,road awareness as well cycling etiqutte,,,,,,,,,,,4
2025-04-22 22:41:01,2025-04-22 23:23:22,0,100,2541,1,2025-04-22 23:23:23,R_93gGh8uvodxqKOL,anonymous,AR,1,3,1,"1,3",,3,"1,2,3,4,10,11,12",,,,,,,,,,,,,1,8,,4,3,1,4,1,1,1,,2,,"2,7",,"1,5,6,7",,,,,,,,,,3,8,,,,,,,,,,,,,,2,"1,2,3",,"1,2,9,3,4,5,6,7",,7,3,المدارس بعيدة جداً عن المنزل ولا يوجد امان والطقس غير مناسب والمدارس غير مؤهله لمثل هذا الوضع.,3,,,1,5,186,6,,1,6,41,10,,,,,,,"اهتمام الجهات المعنية في دبي بتسهيل وتشجيع أفراد المجتمع على الركوب الدراجات وذلك بإنشاء المزيد المسارات وتوفير متطلبات ركوب الدراجات. ",المساعدة في فتح المزيد من محلات بيع الدراجات، توفير المسارات في المناطق السكنيه وربطها بالمسارات الأخرى، العمل على توعية سائقي المركبات بكيفية التعامل مع راكبي الدراجات وعمل ورش عمل تثقيفية للجميع..,,,,,,,,,,,4
2025-04-22 23:18:13,2025-04-22 23:27:14,0,100,541,1,2025-04-22 23:27:15,R_4Va3yLSzHiM437y,anonymous,EN,1,4,1,"1,3,4",,2,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,2,3",7,,4,2,1,3,3,1,1,,"2,4,5,6",,"2,4,5,6,7",,"1,4,5,6,7",,,,,,,,,,,,,2,1,,,,,,,,,,,"1,2,7,4","1,2,3",,"1,2,9,3,4,5,6,7",,1,2,,3,,,1,4,138,9,,1,8,21,10,,,,,,,,,"I ride in Sharjah as it is close to my home and if you ride early morning there are only few cars so it is safe. But given a chance, I would prefer riding in Meydan / NAS.",more cycling related events,,,,,,,,,4
2025-04-22 23:22:34,2025-04-22 23:29:40,0,100,425,1,2025-04-22 23:29:40,R_4StH78Ntz6mW6yJ,anonymous,EN,1,3,1,"1,3,4",,2,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,1,1,,4,1,1,4,2,1,"1,3,10",Gravel Bike,"2,4,5,6,7",,"2,6,7",,"1,4,5,6,7",,,,,,,,,,4,"7,13",Tilal Al Ghaf/Arabian Ranches,,,,,,,,,,,,,"1,2,7,6","3,6,8",,"9,4",,7,3,depends on where the school is located,3,,,1,5,31,8,,1,7,45,5,,,,,,,dedicated cycling area,"better driver education, less drivers using their mobile phones",,,,,,,,,,,4
2025-04-22 23:29:01,2025-04-22 23:34:44,0,100,342,1,2025-04-22 23:34:45,R_4dmIdgZQqlHIo2U,anonymous,EN,1,3,1,1,,4,"6,7,8",,,,,,,,,,,,,"1,2",8,,4,4,1,4,4,1,2,,2,,2,,1,,,,,,,,,,3,6,,,,,,,,,,,,,,"1,2","1,3",,"1,9,7",,7,3,,2,"1,2",,2,4,187,9,,1,7,45,9,,,,,,,"freedom ","more cycle lanes ",,,,,,,,,,,4
2025-04-22 23:30:01,2025-04-22 23:36:31,0,100,389,1,2025-04-22 23:36:31,R_4G1fjNzO8sdv9BA,anonymous,EN,1,3,1,"1,3",,3,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,"1,2,3,4",7,,2,1,1,3,3,1,"1,2",,"2,4,5,6",,"2,4,5,6,7",,"1,4,5,6,7",,,,,,,,,,4,"6,8,14",,,,,,,,,,,,,,1,"1,3,5",,"1,4,6",,"1,2,6",,,2,3,,1,3,77,9,,1,3,28,10,,,,,,,Easy,To make bigger tracks for all levels,,,,,,,,,,,4
2025-04-22 23:29:40,2025-04-22 23:37:47,0,100,487,1,2025-04-22 23:37:48,R_71j1CoarYvrPFTX,anonymous,EN,1,3,1,"3,4",,1,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,,,1,7,,4,1,1,1,4,1,"1,3",,"2,6",,"2,6",,,,,,,,,,,,1,"7,14",,,,,,,,,,,,,,"1,2,6",3,,"2,4",,7,1,,2,6,,1,4,64,10,,1,7,4,7,,,,,,,"The amazing cycle paths and the facilities at the cycle paths (parking, changing rooms, showers, washrooms)",More events and group rides at the cycle paths.,,,,,,,,,,,4
